"Decision_ID","Control_ID","Control_Name","Control_Type","Control_Owner","Applicability_Decision","Applicability_Scope","Applicability_Rationale","Conditional_or_Exclusion_Criteria","Related_Risk_IDs","Source_Implementation_Status","Evidence_IDs","Evidence_Basis","Production_Effectiveness_Claim","Risk_Reduction_Credit","Assurance_Classification","Required_Action","Approval_Status","Decision_Owner","Review_Date","Next_Review_Date","Review_Triggers"
"APP-033","QB-06","GenAI Security & Harm Monitoring","Detective","Cassandra Duckley - Chief Information Security Officer","Applicable","AI-002 — QuackBot","Included because GenAI Security & Harm Monitoring directly treats AI-002-R01; AI-002-R02 within AI-002 — QuackBot.","Outside AI-002 — QuackBot, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-002-R01; AI-002-R02","Planned","None linked","Planned","No","No current risk-reduction credit","Design only or not implemented — evidence absent","Implement the control, assign stable evidence IDs, operate it over a defined period and test it.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-034","SH-01","AI Acceptable Use Standard","Preventive","Cassandra Duckley - Chief Information Security Officer","Applicable","AI-007 — Unregistered GenAI Usage","Included because AI Acceptable Use Standard directly treats AI-007-R01; AI-007-R02 within AI-007 — Unregistered GenAI Usage.","Outside AI-007 — Unregistered GenAI Usage, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-007-R01; AI-007-R02","Planned","None linked","Planned","No","No current risk-reduction credit","Design only or not implemented — evidence absent","Implement the control, assign stable evidence IDs, operate it over a defined period and test it.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-035","SH-02","Approved AI Tool Catalogue & Vendor Allowlist","Preventive","Percival Duckworth - Director Procurement & Vendor Assurance","Applicable","AI-007 — Unregistered GenAI Usage","Included because Approved AI Tool Catalogue & Vendor Allowlist directly treats AI-007-R01; AI-007-R03 within AI-007 — Unregistered GenAI Usage.","Outside AI-007 — Unregistered GenAI Usage, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-007-R01; AI-007-R03","Planned","None linked","Planned","No","No current risk-reduction credit","Design only or not implemented — evidence absent","Implement the control, assign stable evidence IDs, operate it over a defined period and test it.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-036","SH-03","Shadow AI Discovery, DLP & Blocking","Detective","Cassandra Duckley - Chief Information Security Officer","Applicable","AI-007 — Unregistered GenAI Usage","Included because Shadow AI Discovery, DLP & Blocking directly treats AI-007-R01 within AI-007 — Unregistered GenAI Usage.","Outside AI-007 — Unregistered GenAI Usage, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-007-R01","Planned","None linked","Planned","No","No current risk-reduction credit","Design only or not implemented — evidence absent","Implement the control, assign stable evidence IDs, operate it over a defined period and test it.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-037","SH-04","AI Browser Extension & Embedded-App Control","Preventive","Oliver Duckett - Head of IT & Cloud","Applicable","AI-007 — Unregistered GenAI Usage","Included because AI Browser Extension & Embedded-App Control directly treats AI-007-R01; AI-007-R03 within AI-007 — Unregistered GenAI Usage.","Outside AI-007 — Unregistered GenAI Usage, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-007-R01; AI-007-R03","Weak / ad hoc","None linked","Design/status assertion — evidence ID absent","No","No additional credit","Design/status assertion — evidence absent","Provide implementation and operating evidence with a stable evidence ID.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-038","SH-05","Employee Attestation, Manager Accountability & Mandatory Registration","Detective","Eleanor Duckford - AI Governance Lead","Applicable","AI-007 — Unregistered GenAI Usage","Included because Employee Attestation, Manager Accountability & Mandatory Registration directly treats AI-007-R02 within AI-007 — Unregistered GenAI Usage.","Outside AI-007 — Unregistered GenAI Usage, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-007-R02","Planned","None linked","Planned","No","No current risk-reduction credit","Design only or not implemented — evidence absent","Implement the control, assign stable evidence IDs, operate it over a defined period and test it.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-039","SH-06","Exposure Investigation, Decomposition & Remediation","Corrective","Eleanor Duckford - AI Governance Lead","Applicable","AI-007 — Unregistered GenAI Usage","Included because Exposure Investigation, Decomposition & Remediation directly treats AI-007-R01; AI-007-R02; AI-007-R03 within AI-007 — Unregistered GenAI Usage.","Outside AI-007 — Unregistered GenAI Usage, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-007-R01; AI-007-R02; AI-007-R03","Planned","None linked","Planned","No","No current risk-reduction credit","Design only or not implemented — evidence absent","Implement the control, assign stable evidence IDs, operate it over a defined period and test it.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-040","WI-01","Qualified Human Final Inspection","Preventive","Henrietta Duckwell - Director Manufacturing","Applicable","AI-004 — WingInspect Vision","Included because Qualified Human Final Inspection directly treats AI-004-R01; AI-004-R02 within AI-004 — WingInspect Vision.","Outside AI-004 — WingInspect Vision, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-004-R01; AI-004-R02","Partially implemented","EV-AI004-001; EV-AI004-002; EV-AI004-003","Synthetic implementation/operation demonstrated; production effectiveness unverified; applicability evidence reconciled in EV-AIMS-017 through EV-AIMS-020","No","No production risk-reduction credit","Bounded synthetic evidence linked; production effectiveness unverified","Add version-bound production operating and outcome evidence, including population, period, exceptions, review and approval.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-041","WI-02","Minimum Sensitivity & Safety Validation","Preventive","Quentin Duckwell - Director Product Safety & Quality","Applicable","AI-004 — WingInspect Vision","Included because Minimum Sensitivity & Safety Validation directly treats AI-004-R01 within AI-004 — WingInspect Vision.","Outside AI-004 — WingInspect Vision, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-004-R01","Partially implemented","None linked","Design/status assertion — evidence ID absent","No","No additional credit","Design/status assertion — evidence absent","Provide implementation and operating evidence with a stable evidence ID.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-042","WI-03","Independent QA Sampling & Defect-Escape Monitoring","Detective","Quentin Duckwell - Director Product Safety & Quality","Applicable","AI-004 — WingInspect Vision","Included because Independent QA Sampling & Defect-Escape Monitoring directly treats AI-004-R01; AI-004-R03 within AI-004 — WingInspect Vision.","Outside AI-004 — WingInspect Vision, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-004-R01; AI-004-R03","Planned","None linked","Planned","No","No current risk-reduction credit","Design only or not implemented — evidence absent","Implement the control, assign stable evidence IDs, operate it over a defined period and test it.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-043","WI-04","Fail-Safe Manual Fallback & Stop Rule","Corrective","Henrietta Duckwell - Director Manufacturing","Applicable","AI-004 — WingInspect Vision","Included because Fail-Safe Manual Fallback & Stop Rule directly treats AI-004-R01 within AI-004 — WingInspect Vision.","Outside AI-004 — WingInspect Vision, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-004-R01","Planned","None linked","Planned","No","No current risk-reduction credit","Design only or not implemented — evidence absent","Implement the control, assign stable evidence IDs, operate it over a defined period and test it.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-044","WI-05","False-Positive Tuning & QA Feedback Loop","Corrective","Dr. Ada Duckfield - Head of Data & AI","Applicable","AI-004 — WingInspect Vision","Included because False-Positive Tuning & QA Feedback Loop directly treats AI-004-R02 within AI-004 — WingInspect Vision.","Outside AI-004 — WingInspect Vision, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-004-R02","Planned","None linked","Planned","No","No current risk-reduction credit","Design only or not implemented — evidence absent","Implement the control, assign stable evidence IDs, operate it over a defined period and test it.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"
"APP-045","WI-06","Change-Triggered Revalidation & Locked Baseline","Preventive","Dr. Ada Duckfield - Head of Data & AI","Applicable","AI-004 — WingInspect Vision","Included because Change-Triggered Revalidation & Locked Baseline directly treats AI-004-R03 within AI-004 — WingInspect Vision.","Outside AI-004 — WingInspect Vision, the control is not automatically applicable unless another AI entry adopts the same risk/control pattern; portfolio-wide controls remain applicable.","AI-004-R03","Partially implemented","None linked","Design/status assertion — evidence ID absent","No","No additional credit","Design/status assertion — evidence absent","Provide implementation and operating evidence with a stable evidence ID.","Approved within bounded synthetic portfolio exercise","Reginald Duckman - Chief Risk & Compliance Officer","2026-09-09","2026-12-31","Material system, risk, control, evidence, supplier, legal, lifecycle or AIMS-scope change; failed validation; overdue review"

